number,name,link,image,position,club,birthplace,height,mv,age
25,Enes Gün,1001237,https://img.a.transfermarkt.technology/portrait/big/1001237-1649001428.jpg,Left-Back,Ceyhan Spor,Adana,175,,20
,Ömer Özdemir,1006897,https://img.a.transfermarkt.technology/portrait/big/1006897-1650747430.png,Defender,,Adana,,,24
,Ulascan Özdeniz,1006990,https://img.a.transfermarkt.technology/portrait/big/1006990-1650674963.png,Centre-Forward,Adiyamanspor,Adana,,,25
,Mert Gün,1007012,https://img.a.transfermarkt.technology/portrait/big/1007012-1663784238.png,Central Midfield,Sandiklispor,Adana,,,27
,Mustafa Demirci,1008669,https://img.a.transfermarkt.technology/portrait/big/1008669-1652028403.jpg,Goalkeeper,Ceyhan Spor Jugend,Adana,177,,17
1,Can Türk,1064518,https://img.a.transfermarkt.technology/portrait/big/1064518-1664035923.jpg,Goalkeeper,Belediye Kütahyaspor,Adana,190,,19
,Yasar Memisogullarindan,111543,https://img.a.transfermarkt.technology/portrait/big/111543-1504299494.jpg,Goalkeeper,Cayeli Spor,Adana,180,25000,31
,Mahmut Ortak,114137,https://img.a.transfermarkt.technology/portrait/big/114137-1464390449.jpg,Left Winger,,Adana,,,31
,Onur Güney,114421,https://img.a.transfermarkt.technology/portrait/big/114421-1506108083.jpg,Left-Back,,Adana,178,,39
,Veysel Kilic,114432,https://img.a.transfermarkt.technology/portrait/big/114432-1463084740.jpg,Central Midfield,Kücükcekmece Sinop Spor,Adana,,,35
,Cafer Elek,114473,https://img.a.transfermarkt.technology/portrait/big/114473-1465672316.jpg,Centre-Back,,Adana,,,35
90,Hüseyin Colak,114495,https://img.a.transfermarkt.technology/portrait/big/114495-1572868936.jpg,Centre-Forward,Nazilli Belediyespor,Adana,190,50000,32
,Samet Gül,114497,https://img.a.transfermarkt.technology/portrait/big/114497-1464124876.jpg,Left Midfield,Canakkalespor FK,Adana,185,,34
33,Kemal Tokak,114508,https://img.a.transfermarkt.technology/portrait/big/114508-1611360107.jpg,Centre-Back,Iskenderunspor,Adana,184,25000,33
,Ismail Sahmali,118006,https://img.a.transfermarkt.technology/portrait/big/118006-1583963983.png,Goalkeeper,,Adana,187,,40
22,Nuri Terliksiz,132404,https://img.a.transfermarkt.technology/portrait/big/132404-1575384940.jpg,Centre-Back,Sariyer,Adana,,75000,34
,Mehmet Ciloglan,133094,https://img.a.transfermarkt.technology/portrait/big/133094-1462908172.jpg,Left-Back,Adana 1954 FK,Adana,,,31
,Sahin Cakir,134973,https://img.a.transfermarkt.technology/portrait/big/134973-1464211206.jpg,Left-Back,12 Bingöl Spor,Adana,,,33
,Ali Erdem Avuncaner,144205,https://img.a.transfermarkt.technology/portrait/big/144205-1464469774.jpg,Central Midfield,,Adana,,,35
,Onur Bektas,144422,https://img.a.transfermarkt.technology/portrait/big/144422-1506892193.jpg,Defensive Midfield,,Adana,179,,37
,Selcuk Aslan,144531,https://img.a.transfermarkt.technology/portrait/big/144531-1463167728.jpg,Goalkeeper,,Adana,,,32
5,Serdar Sudun,144544,https://img.a.transfermarkt.technology/portrait/big/144544-1472384697.jpg,Defensive Midfield,Efeler 09 Spor FK,Adana,,,33
,Gökhan Aydingül,144926,https://img.a.transfermarkt.technology/portrait/big/144926-1471360702.jpg,Centre-Forward,,Adana,,,35
25,Ertac Özbir,159079,https://img.a.transfermarkt.technology/portrait/big/159079-1629971044.png,Goalkeeper,Adana Demirspor,Adana,187,275000,32
,Fatih Yilmaz,159891,https://img.a.transfermarkt.technology/portrait/big/159891-1644519898.png,Left Winger,Diyarbakirspor,Adana,,,33
1,Serkan Kirintili,16058,https://img.a.transfermarkt.technology/portrait/big/16058-1613784789.png,Goalkeeper,Ümraniyespor,Adana,186,100000,37
,Lütfi Tanil Özer,169703,https://img.a.transfermarkt.technology/portrait/big/169703-1496662181.jpeg,Central Midfield,,Adana,,,39
,Hasan Üstünkaya,169704,https://img.a.transfermarkt.technology/portrait/big/169704-1477162023.jpg,Defender,Carsambaspor,Adana,,,30
,Emrah Bidik,169827,https://img.a.transfermarkt.technology/portrait/big/169827-1466359403.jpg,Goalkeeper,,Adana,,,38
,Mustafa Taskin,169865,https://img.a.transfermarkt.technology/portrait/big/169865-1464980818.jpg,Attacking Midfield,Cizre Serhat Spor,Adana,,,30
,Ali Setirekli,170084,https://img.a.transfermarkt.technology/portrait/big/170084-1464982030.jpg,Defensive Midfield,,Adana,,,31
8,Cem Özdemir,170442,https://img.a.transfermarkt.technology/portrait/big/170442-1504016472.jpg,Central Midfield,Isparta 32 Spor,Adana,180,50000,30
,Ibrahim Selen,176264,https://img.a.transfermarkt.technology/portrait/big/176264-1465039625.jpg,Centre-Forward,Adana Hadirligücü,Adana,181,,29
18,Sadik Ciftpinar,176354,https://img.a.transfermarkt.technology/portrait/big/176354-1628596129.jpg,Centre-Back,Kasimpasa,Adana,183,350000,29
,Kaan Tasar,180816,https://img.a.transfermarkt.technology/portrait/big/180816-1472255974.jpg,Centre-Back,7 Mart Kadirli Demirspor,Adana,,,30
,Ugur Günes,181825,https://img.a.transfermarkt.technology/portrait/big/181825-1561104891.jpg,Attacking Midfield,,Adana,179,,45
